Player,Position,Weight,Team,Nationality,Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2009,West,Fans,6,10,82,2002.0,1.0,9.0
David West,PF,250,New Orleans Hornets,United States,2009,West,Coaches,6,9,81,2003.0,1.0,18.0
Ray Allen,SG,205,Boston Celtics,United States,2009,Eastern,Replacement,6,5,77,1996.0,1.0,5.0
Chris Bosh,PF,235,Toronto Raptors,United States,2009,East,Coaches,6,11,83,2003.0,1.0,4.0
Kevin Garnett,PF,240,Boston Celtics,United States,2009,East,Fans,6,11,83,1995.0,1.0,5.0
Danny Granger,GF,222,Indiana Pacers,United States,2009,East,Coaches,6,9,81,2005.0,1.0,17.0
Devin Harris,G,185,New Jersey Nets,United States,2009,East,Coaches,6,3,75,2004.0,1.0,5.0
Dwight Howard,C,265,Orlando Magic,United States,2009,East,Fans,6,11,83,2004.0,1.0,1.0
Allen Iverson,G,165,Detroit Pistons,United States,2009,East,Fans,6,0,72,1996.0,1.0,1.0
LeBron James,F,250,Cleveland Cavaliers,United States,2009,East,Fans,6,9,81,2003.0,1.0,1.0
Joe Johnson,SG,240,Atlanta Hawks,United States,2009,East,Coaches,6,7,79,2001.0,1.0,10.0
Rashard Lewis,F,235,Orlando Magic,United States,2009,East,Coaches,6,10,82,1998.0,2.0,3.0
Jameer Nelson,G,190,Orlando Magic,United States,2009,East,Coaches,6,0,72,2004.0,1.0,20.0
Paul Pierce,SF,235,Boston Celtics,United States,2009,East,Coaches,6,7,79,1998.0,1.0,10.0
Dwyane Wade,SG,220,Miami Heat,United States,2009,East,Fans,6,4,76,2003.0,1.0,5.0
Mo Williams,G,198,Cleveland Cavaliers,United States,2009,Eastern,Replacement,6,1,73,2003.0,2.0,18.0
Gilbert Arenas,G,191,Washington Wizards,United States,2005,East,Coaches,6,3,75,2001.0,2.0,2.0
Vince Carter,SF,220,New Jersey Nets,United States,2005,East,Fans,6,6,78,1998.0,1.0,5.0
Grant Hill,SF,225,Orlando Magic,United States,2005,East,Fans,6,8,80,1994.0,1.0,3.0
Zydrunas Ilgauskas,C,260,Cleveland Cavaliers,Lithuania,2005,East,Coaches,7,3,87,1996.0,1.0,20.0
Allen Iverson,G,165,Philadelphia Sixers,United States,2005,East,Fans,6,0,72,1996.0,1.0,1.0
LeBron James,F,250,Cleveland Cavaliers,United States,2005,East,Fans,6,9,81,2003.0,1.0,1.0
Antawn Jamison,F,235,Washington Wizards,United States,2005,East,Coaches,6,9,81,1998.0,1.0,4.0
Jermaine O'Neal,FC,235,Indiana Pacers,United States,2005,East,Coaches,6,11,83,1996.0,1.0,17.0
Shaquille O'Neal,C,325,Miami Heat,United States,2005,East,Fans,7,1,85,1992.0,1.0,1.0
Paul Pierce,SF,235,Boston Celtics,United States,2005,East,Coaches,6,7,79,1998.0,1.0,10.0
Dwyane Wade,SG,220,Miami Heat,United States,2005,East,Coaches,6,4,76,2003.0,1.0,5.0
Ben Wallace,FC,240,Detroit Pistons,United States,2005,East,Coaches,6,9,81,,,
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1980,West,Fans,7,2,86,1969.0,1.0,1.0
Otis Birdsong,GF,190,Kansas City Kings,United States,1980,West,Coaches,6,3,75,1977.0,1.0,2.0
Adrian Dantley,SF,208,Utah Jazz,United States,1980,West,Fans,6,5,77,1976.0,1.0,6.0
Walter Davis,GF,193,Phoenix Suns,United States,1980,West,Coaches,6,6,78,1977.0,1.0,5.0
World B. Free,G,185,San Diego Clippers,United States,1980,West,Fans,6,2,74,1975.0,2.0,5.0
Dennis Johnson,PG,185,Seattle SuperSonics,United States,1980,West,Coaches,6,4,76,1976.0,2.0,12.0
Magic Johnson,PG,255,Los Angeles Lakers,United States,1980,West,Fans,6,9,81,1979.0,1.0,1.0
Marques Johnson,GF,218,Milwaukee Bucks,United States,1980,West,Fans,6,7,79,1977.0,1.0,3.0
Jack Sikma,C,230,Seattle SuperSonics,United States,1980,West,Coaches,6,11,83,1977.0,1.0,8.0
Kermit Washington,FC,230,Portland Trail Blazers,United States,1980,West,Coaches,6,8,80,1973.0,1.0,5.0
Scott Wedman,GF,215,Kansas City Kings,United States,1980,West,Coaches,6,7,79,1974.0,1.0,6.0
Paul Westphal,G,195,Phoenix Suns,United States,1980,West,Coaches,6,4,76,1972.0,1.0,10.0
Brad Daugherty,C,245,Cleveland Cavaliers,United States,1993,East,Coaches,7,0,84,1986.0,1.0,1.0
Joe Dumars,SG,190,Detroit Pistons,United States,1993,East,Coaches,6,3,75,1985.0,1.0,18.0
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1993,East,Coaches,7,0,84,1985.0,1.0,1.0
Larry Johnson,F,250,Charlotte Hornets,United States,1993,East,Fans,6,6,78,1991.0,1.0,1.0
Michael Jordan,SG,215,Chicago Bulls,United States,1993,East,Fans,6,6,78,1984.0,1.0,3.0
Larry Nance,PF,205,Cleveland Cavaliers,United States,1993,East,Coaches,6,10,82,1981.0,1.0,20.0
Shaquille O'Neal,C,325,Orlando Magic,United States,1993,East,Fans,7,1,85,1992.0,1.0,1.0
Scottie Pippen,SF,228,Chicago Bulls,United States,1993,East,Fans,6,8,80,1987.0,1.0,5.0
Mark Price,PG,170,Cleveland Cavaliers,United States,1993,East,Coaches,6,0,72,1986.0,2.0,1.0
Detlef Schrempf,SF,214,Indiana Pacers,Germany United States,1993,East,Coaches,6,9,81,1985.0,1.0,8.0
Isiah Thomas,PG,180,Detroit Pistons,United States,1993,East,Fans,6,1,73,1981.0,1.0,2.0
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1993,East,Coaches,6,7,79,1982.0,1.0,3.0
Chris Bosh,PF,235,Toronto Raptors,United States,2010,East,Coaches,6,11,83,2003.0,1.0,4.0
Kevin Garnett,PF,240,Boston Celtics,United States,2010,East,Fans,6,11,83,1995.0,1.0,5.0
Al Horford,FC,240,Atlanta Hawks,Dominican Republic United States,2010,East,Coaches,6,9,81,2007.0,1.0,3.0
Dwight Howard,C,265,Orlando Magic,United States,2010,East,Fans,6,11,83,2004.0,1.0,1.0
