"Players","Tm","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X3P.","FT.","Player_Type","Region","Year"
"Adrian Dantley","UTA","18:00",1,8,0,0,0,0,0,2,2,1,1,0,1,4,2,0.125,NA,NA,"Starter","West",1984
"Jack Sikma","SEA","30:00",5,12,0,0,5,6,5,7,12,1,3,0,2,4,15,0.417,NA,0.833,"Reserve","West",1984
"Kiki Vandeweghe","DEN","26:00",7,13,0,0,0,0,1,2,3,1,0,0,0,2,14,0.538,NA,NA,"Reserve","West",1984
"Rickey Green","UTA","19:00",3,8,0,0,0,0,0,0,0,11,1,0,4,1,6,0.375,NA,NA,"Reserve","West",1984
"Ralph Sampson","HOU","16:00",4,7,0,0,1,2,1,4,5,0,0,0,3,4,9,0.571,NA,0.5,"Reserve","West",1984
"Walter Davis","PHO","15:00",5,9,0,0,0,0,0,2,2,1,1,0,0,0,10,0.556,NA,NA,"Reserve","West",1984
"Jim Paxson","POR","14:00",5,9,0,0,0,0,1,2,3,2,0,0,0,0,10,0.556,NA,NA,"Reserve","West",1984
"Mark Aguirre","DAL","13:00",5,8,0,0,3,4,1,0,1,2,1,1,2,1,13,0.625,NA,0.75,"Reserve","West",1984
"Moses Malone","PHI","33:00",2,10,0,0,3,6,5,7,12,1,0,0,3,4,7,0.2,NA,0.5,"Starter","East",1985
"Larry Bird","BOS","31:00",8,16,0,1,5,6,5,3,8,2,0,1,4,3,21,0.5,0,0.833,"Starter","East",1985
"Isiah Thomas","DET","25:00",9,14,3,4,1,1,1,1,2,5,2,0,1,2,22,0.643,0.75,1,"Starter","East",1985
"Julius Erving","PHI","23:00",5,15,0,0,2,2,2,2,4,3,1,0,1,3,12,0.333,NA,1,"Starter","East",1985
"Michael Jordan","CHI","22:00",2,9,0,1,3,4,3,3,6,2,3,1,1,4,7,0.222,0,0.75,"Starter","East",1985
"Bernard King","NYK","22:00",6,10,0,0,1,2,4,3,7,1,0,0,1,5,13,0.6,NA,0.5,"Reserve","East",1985
"Sidney Moncrief","MIL","22:00",1,5,0,0,6,6,2,3,5,4,0,0,2,1,8,0.2,NA,1,"Reserve","East",1985
"Terry Cummings","MIL","16:00",7,17,0,0,3,4,4,3,7,0,0,1,0,1,17,0.412,NA,0.75,"Reserve","East",1985
"Micheal Ray Richardson","NJN","13:00",2,8,0,2,1,2,2,0,2,1,2,0,2,3,5,0.25,0,0.5,"Reserve","East",1985
"Dennis Johnson","BOS","12:00",3,7,0,0,2,2,1,5,6,3,0,0,1,2,8,0.429,NA,1,"Reserve","East",1985
"Bill Laimbeer","DET","11:00",2,4,0,0,1,2,1,2,3,1,0,0,0,1,5,0.5,NA,0.5,"Reserve","East",1985
"Robert Parish","BOS","10:00",2,5,0,0,0,0,3,3,6,1,0,0,0,0,4,0.4,NA,NA,"Reserve","East",1985
"Magic Johnson","LAL","31:00",7,14,0,0,7,8,2,3,5,15,1,0,3,2,21,0.5,NA,0.875,"Starter","West",1985
"Ralph Sampson","HOU","29:00",10,15,0,0,4,6,3,7,10,1,0,1,1,5,24,0.667,NA,0.667,"Starter","West",1985
"George Gervin","SAS","25:00",10,12,0,0,3,4,0,3,3,1,3,1,4,2,23,0.833,NA,0.75,"Starter","West",1985
"Kareem Abdul-Jabbar","LAL","23:00",5,10,0,0,1,2,0,6,6,1,1,1,1,5,11,0.5,NA,0.5,"Starter","West",1985
"Adrian Dantley","UTA","23:00",2,6,0,0,6,6,0,2,2,1,1,0,2,4,10,0.333,NA,1,"Starter","West",1985
"Rolando Blackman","DAL","23:00",7,14,0,0,1,2,1,2,3,2,1,1,0,1,15,0.5,NA,0.5,"Reserve","West",1985
"Norm Nixon","LAC","19:00",5,7,0,0,1,2,0,2,2,8,1,0,1,0,11,0.714,NA,0.5,"Reserve","West",1985
"Larry Nance","PHO","15:00",7,8,0,0,2,2,1,4,5,0,0,2,2,5,16,0.875,NA,1,"Reserve","West",1985
"Hakeem Olajuwon","HOU","15:00",2,2,0,0,2,6,2,3,5,1,0,2,0,1,6,1,NA,0.333,"Reserve","West",1985
"Alex English","DEN","14:00",0,3,0,0,0,0,1,1,2,1,0,0,2,1,0,0,NA,NA,"Reserve","West",1985
"Jack Sikma","SEA","12:00",0,2,0,0,0,0,0,2,2,0,0,1,0,1,0,0,NA,NA,"Reserve","West",1985
"Calvin Natt","DEN","11:00",1,3,0,0,1,2,0,3,3,1,0,0,1,1,3,0.333,NA,0.5,"Reserve","West",1985
"Isiah Thomas","DET","36:00",11,19,0,1,8,9,0,1,1,10,5,0,5,2,30,0.579,0,0.889,"Starter","East",1986
